pool_tps,pool_process_time,failed_transactions,ttf,staking_time,preprepare_time,preprepare_wait,prepare_time,prepare_wait,commit_time,commit_wait,block_tps,concensus_time,total_time
392.17816404128195,1835.0,210.0,2258.0,57.0,198.0,11.0,203.0,11.0,15.0,0.0,1080.168776371308,474.0,2318.0
391.9652551574376,1835.0,210.0,2262.0,57.0,203.0,18.0,199.0,12.0,17.0,0.0,1073.3752620545074,477.0,2321.0
394.39655172413796,1850.0,220.0,2281.0,54.0,211.0,24.0,198.0,10.0,15.0,0.0,1068.893528183716,479.0,2338.0
396.32829373650105,1844.0,222.0,2266.0,55.0,198.0,11.0,201.0,11.0,14.0,0.0,1091.684434968017,469.0,2324.0
396.54240950837385,1843.0,222.0,2272.0,56.0,201.0,15.0,200.0,11.0,19.0,0.0,1073.3752620545074,477.0,2331.0
393.7133724027704,1869.0,227.0,2314.0,57.0,219.0,35.0,202.0,12.0,15.0,0.0,1036.4372469635628,494.0,2374.0
390.52631578947364,1892.0,230.0,2344.0,56.0,229.0,42.0,200.0,11.0,14.0,0.0,1024.0,500.0,2402.0
392.9510783798001,1894.0,235.0,2349.0,56.0,232.0,45.0,200.0,11.0,15.0,0.0,1015.8730158730158,504.0,2408.0
392.52814738996926,1947.0,255.0,2366.0,56.0,198.0,13.0,198.0,11.0,15.0,0.0,1094.0170940170942,468.0,2425.0
393.4837092731829,1986.0,273.0,2444.0,55.0,229.0,45.0,204.0,13.0,15.0,0.0,1015.8730158730158,504.0,2501.0
393.89463318562287,2024.0,288.0,2473.0,56.0,224.0,39.0,201.0,12.0,16.0,0.0,1028.1124497991966,498.0,2532.0
393.3300637567435,2031.0,290.0,2488.0,57.0,234.0,49.0,199.0,12.0,15.0,0.0,1011.8577075098814,506.0,2548.0
387.43961352657004,2063.0,290.0,2482.0,56.0,197.0,11.0,198.0,10.0,16.0,0.0,1094.0170940170942,468.0,2542.0
392.31891103548855,2049.0,295.0,2471.0,55.0,195.0,11.0,203.0,13.0,15.0,0.0,1091.684434968017,469.0,2528.0
393.15002411963343,2066.0,303.0,2484.0,56.0,197.0,11.0,198.0,10.0,15.0,0.0,1096.3597430406853,467.0,2543.0
391.0984848484849,2104.0,314.0,2524.0,57.0,197.0,10.0,199.0,10.0,16.0,0.0,1091.684434968017,469.0,2583.0
394.9976403964134,2112.0,325.0,2548.0,55.0,215.0,30.0,198.0,12.0,15.0,0.0,1057.8512396694216,484.0,2606.0
396.6824644549763,2103.0,325.0,2558.0,57.0,220.0,34.0,211.0,12.0,16.0,0.0,1013.8613861386139,505.0,2618.0
394.1231343283582,2136.0,333.0,2560.0,55.0,199.0,10.0,201.0,11.0,15.0,0.0,1087.0488322717622,471.0,2619.0
396.47168059424325,2146.0,342.0,2569.0,55.0,198.0,11.0,201.0,12.0,15.0,0.0,1089.3617021276596,470.0,2627.0
396.4088397790055,2165.0,349.0,2585.0,56.0,199.0,12.0,198.0,11.0,15.0,0.0,1091.684434968017,469.0,2645.0
396.44970414201185,2190.0,359.0,2612.0,56.0,197.0,10.0,201.0,11.0,16.0,0.0,1087.0488322717622,471.0,2671.0
396.53641207815275,2244.0,381.0,2666.0,58.0,199.0,11.0,199.0,10.0,16.0,0.0,1084.7457627118645,472.0,2727.0
397.5535168195718,2282.0,398.0,2709.0,56.0,201.0,13.0,200.0,10.0,17.0,0.0,1075.6302521008404,476.0,2768.0
397.41935483870964,2318.0,412.0,2741.0,55.0,200.0,12.0,200.0,11.0,15.0,0.0,1087.0488322717622,471.0,2800.0
397.7994075327973,2356.0,428.0,2815.0,56.0,237.0,50.0,199.0,11.0,15.0,0.0,1007.8740157480315,508.0,2875.0
395.5864323661626,2439.0,456.0,2864.0,57.0,198.0,11.0,202.0,11.0,16.0,0.0,1080.168776371308,474.0,2924.0
397.27673207849415,2489.0,480.0,2911.0,56.0,198.0,11.0,201.0,11.0,15.0,0.0,1089.3617021276596,470.0,2971.0
